row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag
2,10,1%sola_0.522,-65.22,95,15.03,40.25,0.423684
2,10,1%sola_0.522,-65.24,95,15.02,40.37,0.424947
2,10,1%sola_0.522,-65.26,95,15.02,40.56,0.426947
2,10,1%sola_0.522,-65.28,95,15.02,40.88,0.430316
2,10,1%sola_0.522,-65.3,95,15.03,41.28,0.434526
2,10,1%sola_0.522,-65.32,95,15.02,41.59,0.437789
2,10,1%sola_0.522,-65.34,95,15.03,41.88,0.440842
2,10,1%sola_0.522,-65.36,95,15.03,42.17,0.443895
2,10,1%sola_0.522,-65.38,95,15.02,42.46,0.446947
2,10,1%sola_0.522,-65.4,95,15.03,42.8,0.450526
2,10,1%sola_0.522,-65.42,95,15.01,43.1,0.453684
2,10,1%sola_0.522,-65.44,95,15.02,43.48,0.457684
2,10,1%sola_0.522,-65.46,95,15.01,43.77,0.460737
2,10,1%sola_0.522,-65.48,95,15.02,44.17,0.464947
2,10,1%sola_0.522,-65.5,95,15.03,44.48,0.468211
2,10,1%sola_0.522,-65.52,95,15.02,44.88,0.472421
2,10,1%sola_0.522,-65.54,95,15.02,45.19,0.475684
2,10,1%sola_0.522,-65.56,95,15.02,45.6,0.48
2,10,1%sola_0.522,-65.58,95,15.02,45.93,0.483474
2,10,1%sola_0.522,-65.6,95,15.03,46.32,0.487579
2,10,1%sola_0.522,-65.62,95,15.02,46.67,0.491263
2,10,1%sola_0.522,-65.64,95,15.03,47.08,0.495579
2,10,1%sola_0.522,-65.66,95,15.02,47.44,0.499368
2,10,1%sola_0.522,-65.68,95,15.02,47.88,0.504
2,10,1%sola_0.522,-65.7,95,15.02,48.25,0.507895
2,10,1%sola_0.522,-65.72,95,15.03,48.72,0.512842
2,10,1%sola_0.522,-65.74,95,15.04,49.13,0.517158
2,10,1%sola_0.522,-65.76,95,15.02,49.62,0.522316
2,10,1%sola_0.522,-65.78,95,15.02,50.06,0.526947
2,10,1%sola_0.522,-65.8,95,15.02,50.61,0.532737
2,10,1%sola_0.522,-65.82,95,15.04,51.09,0.537789
2,10,1%sola_0.522,-65.84,95,15.02,51.67,0.543895
2,10,1%sola_0.522,-65.86,95,15.02,52.18,0.549263
2,10,1%sola_0.522,-65.88,95,15.03,52.82,0.556
2,10,1%sola_0.522,-65.9,95,15.02,53.41,0.562211
2,10,1%sola_0.522,-65.92,95,15.03,54.12,0.569684
2,10,1%sola_0.522,-65.94,95,15.02,54.77,0.576526
2,10,1%sola_0.522,-65.96,95,15.02,55.56,0.584842
2,10,1%sola_0.522,-65.98,95,15.02,56.28,0.592421
2,10,1%sola_0.522,-66,95,15.02,57.22,0.602316
2,10,1%sola_0.522,-66.02,95,15.03,58.3,0.613684
2,10,1%sola_0.522,-66.04,95,35.04,61.06,0.642737
2,10,1%sola_0.522,-66.06,95,35.07,68.11,0.716947
2,10,1%sola_0.522,-66.08,95,20.08,69.3,0.729474
2,11,2%sola_35.86,-65.28,1.4,25.03,40.9,29.214286
2,11,2%sola_35.86,-65.3,1.4,15.01,41.78,29.842857
2,11,2%sola_35.86,-65.32,1.4,15.02,42.16,30.114286
2,11,2%sola_35.86,-65.34,1.4,15.02,42.92,30.657143
